date,NOI
2024-09-30,0.7680
2024-06-30,0.7540
2024-03-31,0.7350
2023-12-31,0.7920
2023-09-30,0.6940
2023-06-30,0.6580
2023-03-31,0.6630
2022-12-31,0.6840
2022-09-30,0.6520
2022-06-30,0.6270
2022-03-31,0.6200
2021-12-31,0.5920
2021-09-30,0.6120
2021-06-30,0.6050
2021-03-31,0.6050
2020-12-31,0.4620
2020-09-30,0.4040
2020-06-30,0.4510
2020-03-31,0.6550
2019-12-31,0.7820
2019-09-30,0.7050
2019-06-30,0.6810
2019-03-31,0.7450
2018-12-31,0.7740
2018-09-30,0.7230
2018-06-30,0.7280
2018-03-31,0.7020
2017-12-31,0.7490
2017-09-30,0.6900
2017-06-30,0.6860
2017-03-31,0.6770
2016-12-31,0.7010
2016-09-30,0.6760
2016-06-30,0.6590
2016-03-31,0.6850
2015-12-31,0.7100
2015-09-30,0.6580
2015-06-30,0.7020
2015-03-31,0.5990
2014-12-31,0.6550
2014-09-30,0.6080
2014-06-30,0.5620
2014-03-31,0.5610
2013-12-31,0.5730
2013-09-30,0.5480
2013-06-30,0.5100
2013-03-31,0.5580
2012-12-31,0.4000
2012-09-30,0.5650
2012-06-30,0.5240
2012-03-31,0.5170
2011-12-31,0.5410
2011-09-30,0.4840
2011-06-30,0.4680
2011-03-31,0.4510
2010-12-31,0.5070
2010-09-30,0.3980
2010-06-30,0.4150
2010-03-31,0.4270
2009-12-31,0.2850
2009-09-30,0.3920
2009-06-30,0.3650
2009-03-31,0.3640
