CPI,date_idx
2.008,1
2.008,2
2.008,3
2.008,4
2.008,5
2.008,6
2.008,7
2.008,8
2.008,9
2.008,10
2.008,11
2.008,12
2.008,13
2.008,14
2.008,15
2.008,16
2.008,17
2.008,18
2.008,19
2.008,20
2.008,21
2.008,22
2.008,23
2.008,24
2.008,25
2.008,26
2.008,27
2.008,28
2.008,29
2.008,30
2.008,31
1.998,32
1.998,33
1.998,34
1.998,35
1.998,36
1.998,37
1.998,38
1.998,39
1.998,40
1.998,41
1.998,42
1.998,43
1.998,44
1.998,45
1.998,46
1.998,47
1.998,48
1.998,49
1.998,50
1.998,51
1.998,52
1.998,53
1.998,54
1.998,55
1.998,56
1.998,57
1.998,58
1.998,59
2.061,60
2.061,61
2.061,62
2.061,63
2.061,64
2.061,65
2.061,66
2.061,67
2.061,68
2.061,69
2.061,70
2.061,71
2.061,72
2.061,73
2.061,74
2.061,75
2.061,76
2.061,77
2.061,78
2.061,79
2.061,80
2.061,81
2.061,82
2.061,83
2.061,84
2.061,85
2.061,86
2.061,87
2.061,88
2.061,89
2.061,90
2.119,91
2.119,92
2.119,93
2.119,94
2.119,95
2.119,96
2.119,97
2.119,98
2.119,99
2.119,100
2.119,101
2.119,102
2.119,103
2.119,104
2.119,105
2.119,106
2.119,107
2.119,108
2.119,109
2.119,110
2.119,111
2.119,112
2.119,113
2.119,114
2.119,115
2.119,116
2.119,117
2.119,118
2.119,119
2.119,120
1.996,121
1.996,122
1.996,123
1.996,124
1.996,125
1.996,126
1.996,127
1.996,128
1.996,129
1.996,130
1.996,131
1.996,132
1.996,133
1.996,134
1.996,135
1.996,136
1.996,137
1.996,138
1.996,139
1.996,140
1.996,141
1.996,142
1.996,143
1.996,144
1.996,145
1.996,146
1.996,147
1.996,148
1.996,149
1.996,150
1.996,151
1.948,152
1.948,153
1.948,154
1.948,155
1.948,156
1.948,157
1.948,158
1.948,159
1.948,160
1.948,161
1.948,162
1.948,163
1.948,164
1.948,165
1.948,166
1.948,167
1.948,168
1.948,169
1.948,170
1.948,171
1.948,172
1.948,173
1.948,174
1.948,175
1.948,176
1.948,177
1.948,178
1.948,179
1.948,180
1.948,181
1.95,182
1.95,183
1.95,184
1.95,185
1.95,186
1.95,187
1.95,188
1.95,189
1.95,190
1.95,191
1.95,192
1.95,193
1.95,194
1.95,195
1.95,196
1.95,197
1.95,198
1.95,199
1.95,200
1.95,201
1.95,202
1.95,203
1.95,204
1.95,205
1.95,206
1.95,207
1.95,208
1.95,209
1.95,210
1.95,211
1.95,212
1.979,213
1.979,214
1.979,215
1.979,216
1.979,217
1.979,218
1.979,219
1.979,220
1.979,221
1.979,222
1.979,223
1.979,224
1.979,225
1.979,226
1.979,227
1.979,228
1.979,229
1.979,230
1.979,231
1.979,232
1.979,233
1.979,234
1.979,235
1.979,236
1.979,237
1.979,238
1.979,239
1.979,240
1.979,241
1.979,242
1.979,243
1.97,244
1.97,245
1.97,246
1.97,247
1.97,248
1.97,249
1.97,250
1.97,251
1.97,252
1.97,253
1.97,254
1.97,255
1.97,256
1.97,257
1.97,258
1.97,259
1.97,260
1.97,261
1.97,262
1.97,263
1.97,264
1.97,265
1.97,266
1.97,267
1.97,268
1.97,269
1.97,270
1.97,271
1.97,272
1.97,273
1.951,274
1.951,275
1.951,276
1.951,277
1.951,278
1.951,279
1.951,280
1.951,281
1.951,282
1.951,283
1.951,284
1.951,285
1.951,286
1.951,287
1.951,288
1.951,289
1.951,290
1.951,291
1.951,292
1.951,293
1.951,294
1.951,295
1.951,296
1.951,297
1.951,298
1.951,299
1.951,300
1.951,301
1.951,302
1.951,303
1.951,304
2.032,305
2.032,306
2.032,307
2.032,308
2.032,309
2.032,310
2.032,311
2.032,312
2.032,313
2.032,314
2.032,315
2.032,316
2.032,317
2.032,318
2.032,319
2.032,320
2.032,321
2.032,322
2.032,323
2.032,324
2.032,325
2.032,326
2.032,327
2.032,328
2.032,329
2.032,330
2.032,331
2.032,332
2.032,333
2.032,334
2.21,335
2.21,336
2.21,337
2.21,338
2.21,339
2.21,340
2.21,341
2.21,342
2.21,343
2.21,344
2.21,345
2.21,346
2.21,347
2.21,348
2.21,349
2.21,350
2.21,351
2.21,352
2.21,353
2.21,354
2.21,355
2.21,356
2.21,357
2.21,358
2.21,359
2.21,360
2.21,361
2.21,362
2.21,363
2.21,364
2.21,365
2.113,366
2.113,367
2.113,368
2.113,369
2.113,370
2.113,371
2.113,372
2.113,373
2.113,374
2.113,375
2.113,376
2.113,377
2.113,378
2.113,379
2.113,380
2.113,381
2.113,382
2.113,383
2.113,384
2.113,385
2.113,386
2.113,387
2.113,388
2.113,389
2.113,390
2.113,391
2.113,392
2.113,393
2.113,394
2.113,395
2.113,396
2.088,397
2.088,398
2.088,399
2.088,400
2.088,401
2.088,402
2.088,403
2.088,404
2.088,405
2.088,406
2.088,407
2.088,408
2.088,409
2.088,410
2.088,411
2.088,412
2.088,413
2.088,414
2.088,415
2.088,416
2.088,417
2.088,418
2.088,419
2.088,420
2.088,421
2.088,422
2.088,423
2.088,424
2.133,425
2.133,426
2.133,427
2.133,428
