Date,Quarterly Operating Income
2024-12-31,$836
2024-09-30,$768
2024-06-30,$754
2024-03-31,$735
2023-12-31,$792
2023-09-30,$694
2023-06-30,$658
2023-03-31,$663
2022-12-31,$684
2022-09-30,$652
2022-06-30,$627
2022-03-31,$620
2021-12-31,$592
2021-09-30,$612
2021-06-30,$605
2021-03-31,$605
2020-12-31,$462
2020-09-30,$404
2020-06-30,$451
2020-03-31,$655
2019-12-31,$782
2019-09-30,$705
2019-06-30,$681
2019-03-31,$745
2018-12-31,$774
2018-09-30,$723
2018-06-30,$728
2018-03-31,$702
2017-12-31,$749
2017-09-30,$690
2017-06-30,$686
2017-03-31,$677
2016-12-31,$701
2016-09-30,$676
2016-06-30,$659
2016-03-31,$685
2015-12-31,$710
2015-09-30,$658
2015-06-30,$702
2015-03-31,$599
2014-12-31,$655
2014-09-30,$608
2014-06-30,$562
2014-03-31,$561
2013-12-31,$573
2013-09-30,$548
2013-06-30,$510
2013-03-31,$558
2012-12-31,$400
2012-09-30,$565
2012-06-30,$524
2012-03-31,$517
2011-12-31,$541
2011-09-30,$484
2011-06-30,$468
2011-03-31,$451
2010-12-31,$507
2010-09-30,$398
2010-06-30,$415
2010-03-31,$427
2009-12-31,$285
2009-09-30,$392
2009-06-30,$365
2009-03-31,$364
