date_idx,market_cap
1,47.24
2,47.24
3,47.82
4,47.82
5,47.82
6,48.14
7,48.11
8,47.94
9,47.9
10,48.36
11,48.36
12,48.36
13,48.2
14,48.53
15,48.82
16,48.89
17,48.68
18,48.68
19,48.68
20,48.68
21,49.05
22,48.91
23,48.5
24,47.58
25,47.58
26,47.58
27,47.19
28,47.23
29,46.79
30,47.51
31,48.1
32,48.1
33,48.1
34,46.96
35,47.65
36,47.81
37,48.25
38,48.76
39,48.76
40,48.76
41,49.18
42,49.45
43,49.06
44,49.31
45,49.76
46,49.76
47,49.76
48,49.76
49,49.78
50,49.76
51,49.67
52,49.56
53,49.56
54,49.56
55,49.67
56,49.5
57,50.03
58,49.82
59,50.1
60,50.1
61,50.1
62,50.3
63,51.05
64,50.98
65,50.81
66,50.23
67,50.23
68,50.23
69,49.98
70,50.35
71,50.4
72,50.24
73,50.03
74,50.03
75,50.03
76,50.54
77,50.78
78,49.59
79,49.8
80,50.1
81,50.1
82,50.1
83,49.8
84,50.29
85,49.55
86,50.13
87,50.9
88,50.9
89,50.9
90,50.94
91,51.25
92,51.11
93,51.08
94,51.39
95,51.39
96,51.39
97,51.92
98,51.99
99,52.03
100,51.91
101,51.7
102,51.7
103,51.7
104,52.23
105,52.81
106,53.32
107,52.78
108,52.78
109,52.78
110,52.78
111,53.03
112,53.03
113,53.06
114,53.18
115,53.0
116,53.0
117,53.0
118,53.24
119,53.52
120,53.82
121,53.96
122,53.78
123,53.78
124,53.78
125,54.08
126,53.88
127,54.61
128,54.71
129,54.58
130,54.58
131,54.58
132,54.71
133,54.25
134,54.15
135,54.34
136,54.73
137,54.73
138,54.73
139,54.54
140,54.48
141,54.19
142,54.08
143,54.46
144,54.46
145,54.46
146,54.46
147,54.86
148,54.67
149,51.36
150,51.73
151,51.73
152,51.73
153,51.83
154,51.54
155,51.82
156,52.78
157,52.73
158,52.73
159,52.73
160,51.89
161,51.48
162,51.18
163,50.93
164,51.01
165,51.01
166,51.01
167,50.81
168,51.21
169,51.74
170,51.98
171,52.03
172,52.03
173,52.03
174,51.79
175,51.7
176,51.6
177,51.52
178,51.91
179,51.91
180,51.91
181,51.67
182,51.86
183,51.82
184,51.63
185,51.63
186,51.63
187,51.63
188,51.74
189,51.81
190,52.1
191,52.28
192,52.52
193,52.52
194,52.52
195,52.65
196,52.92
197,53.1
198,52.71
199,53.15
200,53.15
201,53.15
202,52.96
203,53.24
204,52.96
205,53.24
206,52.51
207,52.51
208,52.51
209,52.98
210,52.86
211,52.88
212,52.27
213,52.11
214,52.11
215,52.11
216,52.33
217,51.7
218,51.37
219,51.36
220,51.68
221,51.68
222,51.68
223,52.22
224,51.94
225,52.37
226,52.29
227,52.47
228,52.47
229,52.47
230,52.91
231,52.79
232,52.99
233,52.97
234,52.65
235,52.65
236,52.65
237,52.59
