Series ID,Year,Period,Label,Value
APU0000708111,2014,M01,2014 Jan,2.008
APU0000708111,2014,M02,2014 Feb,1.998
APU0000708111,2014,M03,2014 Mar,2.061
APU0000708111,2014,M04,2014 Apr,2.119
APU0000708111,2014,M05,2014 May,1.996
APU0000708111,2014,M06,2014 Jun,1.948
APU0000708111,2014,M07,2014 Jul,1.950
APU0000708111,2014,M08,2014 Aug,1.979
APU0000708111,2014,M09,2014 Sep,1.970
APU0000708111,2014,M10,2014 Oct,1.951
APU0000708111,2014,M11,2014 Nov,2.032
APU0000708111,2014,M12,2014 Dec,2.210
APU0000708111,2015,M01,2015 Jan,2.113
APU0000708111,2015,M02,2015 Feb,2.088
APU0000708111,2015,M03,2015 Mar,2.133
APU0000708111,2015,M04,2015 Apr,2.065
APU0000708111,2015,M05,2015 May,1.962
APU0000708111,2015,M06,2015 Jun,2.570
APU0000708111,2015,M07,2015 Jul,2.570
APU0000708111,2015,M08,2015 Aug,2.943
APU0000708111,2015,M09,2015 Sep,2.966
APU0000708111,2015,M10,2015 Oct,2.808
APU0000708111,2015,M11,2015 Nov,2.664
APU0000708111,2015,M12,2015 Dec,2.751
APU0000708111,2016,M01,2016 Jan,2.328
APU0000708111,2016,M02,2016 Feb,2.267
APU0000708111,2016,M03,2016 Mar,2.081
APU0000708111,2016,M04,2016 Apr,1.793
APU0000708111,2016,M05,2016 May,1.684
APU0000708111,2016,M06,2016 Jun,1.491
APU0000708111,2016,M07,2016 Jul,1.546
APU0000708111,2016,M08,2016 Aug,1.455
APU0000708111,2016,M09,2016 Sep,1.471
APU0000708111,2016,M10,2016 Oct,1.390
APU0000708111,2016,M11,2016 Nov,1.321
APU0000708111,2016,M12,2016 Dec,1.383
APU0000708111,2017,M01,2017 Jan,1.599
APU0000708111,2017,M02,2017 Feb,1.464
APU0000708111,2017,M03,2017 Mar,1.404
APU0000708111,2017,M04,2017 Apr,1.409
APU0000708111,2017,M05,2017 May,1.414
APU0000708111,2017,M06,2017 Jun,1.332
APU0000708111,2017,M07,2017 Jul,1.333
APU0000708111,2017,M08,2017 Aug,1.367
APU0000708111,2017,M09,2017 Sep,1.422
APU0000708111,2017,M10,2017 Oct,1.540
APU0000708111,2017,M11,2017 Nov,1.506
APU0000708111,2017,M12,2017 Dec,1.815
APU0000708111,2018,M01,2018 Jan,1.769
APU0000708111,2018,M02,2018 Feb,1.755
APU0000708111,2018,M03,2018 Mar,1.831
APU0000708111,2018,M04,2018 Apr,2.081
APU0000708111,2018,M05,2018 May,1.987
APU0000708111,2018,M06,2018 Jun,1.628
APU0000708111,2018,M07,2018 Jul,1.725
APU0000708111,2018,M08,2018 Aug,1.622
APU0000708111,2018,M09,2018 Sep,1.651
APU0000708111,2018,M10,2018 Oct,1.660
APU0000708111,2018,M11,2018 Nov,1.596
APU0000708111,2018,M12,2018 Dec,1.595
APU0000708111,2019,M01,2019 Jan,1.554
APU0000708111,2019,M02,2019 Feb,1.557
APU0000708111,2019,M03,2019 Mar,1.544
APU0000708111,2019,M04,2019 Apr,1.463
APU0000708111,2019,M05,2019 May,1.362
APU0000708111,2019,M06,2019 Jun,1.203
APU0000708111,2019,M07,2019 Jul,1.243
APU0000708111,2019,M08,2019 Aug,1.219
APU0000708111,2019,M09,2019 Sep,1.383
APU0000708111,2019,M10,2019 Oct,1.282
APU0000708111,2019,M11,2019 Nov,1.405
APU0000708111,2019,M12,2019 Dec,1.535
APU0000708111,2020,M01,2020 Jan,1.461
APU0000708111,2020,M02,2020 Feb,1.449
APU0000708111,2020,M03,2020 Mar,1.525
APU0000708111,2020,M04,2020 Apr,2.019
APU0000708111,2020,M05,2020 May,1.640
APU0000708111,2020,M06,2020 Jun,1.554
APU0000708111,2020,M07,2020 Jul,1.401
APU0000708111,2020,M08,2020 Aug,1.328
APU0000708111,2020,M09,2020 Sep,1.353
APU0000708111,2020,M10,2020 Oct,1.408
