date,cashonhand
2024-12-31,0.1740
2024-09-30,1.0270
2024-06-30,0.7490
2024-03-31,0.7380
2023-12-31,0.7010
2023-09-30,0.7630
2023-06-30,0.4140
2023-03-31,0.3250
2022-12-31,0.2630
2022-09-30,0.3000
2022-06-30,0.2730
2022-03-31,0.4670
2021-12-31,0.6100
2021-09-30,0.5700
2021-06-30,0.1260
2021-03-31,0.1870
2020-12-31,0.2130
2020-09-30,0.5600
2020-06-30,0.5720
2020-03-31,0.2970
2019-12-31,0.0920
2019-09-30,0.0820
2019-06-30,0.0770
2019-03-31,0.1310
2018-12-31,0.1450
2018-09-30,0.1300
2018-06-30,0.1670
2018-03-31,0.1350
2017-12-31,0.1800
2017-09-30,0.1340
2017-06-30,0.1590
2017-03-31,0.1920
2016-12-31,0.1980
2015-12-31,0.2750
2014-12-31,0.2860
