date,debttoequityratio
2024-12-31,0.91
2024-09-30,0.97
2024-06-30,0.91
2024-03-31,0.89
2023-12-31,0.89
2023-09-30,0.90
2023-06-30,0.80
2023-03-31,0.81
2022-12-31,0.80
2022-09-30,0.81
2022-06-30,0.80
2022-03-31,0.81
2021-12-31,0.88
2021-09-30,0.92
2021-06-30,1.03
2021-03-31,1.03
2020-12-31,1.05
2020-09-30,1.13
2020-06-30,1.13
2020-03-31,1.21
2019-12-31,1.10
2019-09-30,1.16
2019-06-30,1.20
2019-03-31,1.17
2018-12-31,1.16
2018-09-30,1.16
2018-06-30,1.18
2018-03-31,1.17
2017-12-31,1.16
2017-09-30,1.64
2017-06-30,1.61
2017-03-31,1.62
2016-12-31,3.97
2016-09-30,0.00
2016-06-30,0.00
2016-03-31,0.00
2015-12-31,4.19
2014-12-31,2.75
