date,eps
2024-12-31,$0.24
2024-09-30,$0.15
2024-06-30,$0.12
2024-03-31,$0.23
2023-12-31,$0.22
2023-09-30,$0.21
2023-06-30,$0.22
2023-03-31,$0.20
2022-12-31,$0.17
2022-09-30,$0.13
2022-06-30,$0.18
2022-03-31,$0.15
2021-12-31,$0.12
2021-09-30,$0.12
2021-06-30,$0.11
2021-03-31,$0.10
2020-12-31,$0.12
2020-09-30,$0.06
2020-06-30,$0.08
2020-03-31,$0.09
2019-12-31,$0.10
2019-09-30,$0.06
2019-06-30,$0.07
2019-03-31,$0.04
2018-12-31,$0.05
2018-09-30,$0.00
2018-06-30,$-0.03
2018-03-31,$-0.03
2017-12-31,$-0.13
2017-09-30,$-0.07
2017-06-30,$0.02
2017-03-31,$-0.08
2016-12-31,$0.00
2016-09-30,$0.00
2016-06-30,$0.00
2016-03-31,$0.00
2015-12-31,$0.00
2014-12-31,$0.00
