date,grossprofit
2024-12-31,0.3910
2024-09-30,0.3840
2024-06-30,0.3870
2024-03-31,0.3840
2023-12-31,0.3710
2023-09-30,0.3650
2023-06-30,0.3630
2023-03-31,0.3580
2022-12-31,0.3470
2022-09-30,0.3430
2022-06-30,0.3450
2022-03-31,0.3290
2021-12-31,0.3220
2021-09-30,0.3070
2021-06-30,0.2990
2021-03-31,0.2910
2020-12-31,0.2810
2020-09-30,0.2660
2020-06-30,0.2680
2020-03-31,0.2690
2019-12-31,0.2620
2019-09-30,0.2520
2019-06-30,0.2590
2019-03-31,0.2600
2018-12-31,0.2560
2018-09-30,0.2480
2018-06-30,0.2530
2018-03-31,0.2460
2017-12-31,0.2010
2017-09-30,0.1390
2017-06-30,0.1400
2017-03-31,0.1390
2016-12-31,0.0390
2016-09-30,0.1310
2016-06-30,0.1320
2016-03-31,0.1320
