date,longtermdebt
2024-12-31,4.5820
2024-09-30,5.3900
2024-06-30,5.4150
2024-03-31,5.4180
2023-12-31,5.4210
2023-09-30,5.4230
2023-06-30,5.4230
2023-03-31,5.4260
2022-12-31,5.4260
2022-09-30,5.4090
2022-06-30,5.4090
2022-03-31,6.1010
2021-12-31,6.2420
2021-09-30,7.0450
2021-06-30,8.1770
2021-03-31,8.1830
2020-12-31,8.1890
2020-09-30,8.4860
2020-06-30,8.5060
2020-03-31,8.7890
2019-12-31,8.6150
2019-09-30,8.8050
2019-06-30,9.1170
2019-03-31,9.2320
2018-12-31,9.3990
2018-09-30,9.6060
2018-06-30,9.8150
2018-03-31,9.8040
2017-12-31,9.7980
2017-09-30,5.7330
2017-06-30,5.7340
2017-03-31,5.8020
2016-12-31,7.6570
2015-12-31,7.8070
2014-12-31,6.6360
