date,v1
2017-02-01,6.23
2017-02-02,6.3
2017-02-03,6.43
2017-02-06,6.46
2017-02-07,6.48
2017-02-08,6.49
2017-02-09,6.51
2017-02-10,6.55
2017-02-13,6.54
2017-02-14,6.55
2017-02-15,6.52
2017-02-16,6.53
2017-02-17,6.59
2017-02-21,6.69
2017-02-22,6.72
2017-02-23,6.73
2017-02-24,6.73
2017-02-27,6.8
2017-02-28,6.79
2017-03-01,6.71
2017-03-02,6.77
2017-03-03,6.8
2017-03-06,6.83
2017-03-07,6.8
2017-03-08,6.72
2017-03-09,6.62
2017-03-10,6.67
2017-03-13,6.66
2017-03-14,6.62
2017-03-15,6.71
2017-03-16,6.69
2017-03-17,6.73
2017-03-20,6.71
2017-03-21,6.67
2017-03-22,6.7
2017-03-23,6.7
2017-03-24,6.73
2017-03-27,6.71
2017-03-28,6.74
2017-03-29,6.76
2017-03-30,6.78
2017-03-31,6.8
2017-04-03,6.74
2017-04-04,6.72
2017-04-05,6.73
2017-04-06,6.77
2017-04-07,6.74
2017-04-10,6.75
2017-04-11,6.72
2017-04-12,6.72
2017-04-13,6.64
2017-04-17,6.76
2017-04-18,6.79
2017-04-19,6.78
2017-04-20,6.7
2017-04-21,6.75
2017-04-24,6.75
2017-04-25,6.77
2017-04-26,6.76
2017-04-27,6.73
2017-04-28,6.72
2017-05-01,6.76
2017-05-02,6.71
2017-05-03,6.7
2017-05-04,6.61
2017-05-05,6.63
2017-05-08,6.63
2017-05-09,6.69
2017-05-10,6.76
2017-05-11,6.83
2017-05-12,6.79
2017-05-15,6.83
2017-05-16,6.66
2017-05-17,6.72
2017-05-18,6.75
2017-05-19,6.79
2017-05-22,6.76
2017-05-23,6.72
2017-05-24,6.75
2017-05-25,6.61
2017-05-26,6.61
2017-05-30,6.66
2017-05-31,6.71
2017-06-01,6.76
2017-06-02,6.84
2017-06-05,6.73
2017-06-06,6.71
2017-06-07,6.64
2017-06-08,6.6
2017-06-09,6.67
2017-06-12,6.69
2017-06-13,6.68
2017-06-14,6.7
2017-06-15,6.69
2017-06-16,6.62
2017-06-19,6.74
2017-06-20,6.66
2017-06-21,6.64
2017-06-22,6.68
2017-06-23,6.77
2017-06-26,6.75
2017-06-27,6.72
2017-06-28,6.72
2017-06-29,6.64
2017-06-30,6.74
2017-07-03,6.75
2017-07-05,6.76
