date,v1,longtermdebt,totalshareholderequity,netincome,grossprofit,cap_rate,assets,NOI,cashonhand,debttoequityratio,revenue,totalliabilities,ebitda,eps,cpi
2017-02-01,6.230,7.613,1.998,-0.027,0.041,0.005,9.729,0.044,0.198,3.914,0.235,7.731,0.126,,1.464
2017-02-02,6.300,7.569,2.038,-0.028,0.044,0.004,9.725,0.043,0.198,3.858,0.235,7.687,0.125,,1.461
2017-02-03,6.430,7.524,2.078,-0.028,0.046,0.004,9.722,0.043,0.198,3.802,0.235,7.643,0.125,,1.458
2017-02-06,6.460,7.480,2.119,-0.028,0.049,0.004,9.718,0.042,0.197,3.746,0.235,7.599,0.124,,1.455
2017-02-07,6.480,7.436,2.160,-0.029,0.051,0.004,9.715,0.041,0.197,3.690,0.235,7.555,0.123,,1.451
2017-02-08,6.490,7.392,2.200,-0.029,0.053,0.004,9.711,0.040,0.197,3.634,0.236,7.511,0.122,,1.448
2017-02-09,6.510,7.348,2.240,-0.030,0.056,0.004,9.708,0.040,0.197,3.578,0.236,7.468,0.122,,1.445
2017-02-10,6.550,7.304,2.281,-0.030,0.058,0.004,9.705,0.039,0.197,3.522,0.236,7.424,0.121,,1.442
2017-02-13,6.540,7.260,2.322,-0.030,0.060,0.004,9.701,0.038,0.197,3.466,0.236,7.380,0.120,,1.439
2017-02-14,6.550,7.215,2.362,-0.031,0.063,0.004,9.698,0.037,0.197,3.410,0.236,7.336,0.119,,1.436
2017-02-15,6.520,7.171,2.402,-0.031,0.065,0.004,9.694,0.036,0.196,3.355,0.236,7.292,0.118,,1.432
2017-02-16,6.530,7.127,2.443,-0.031,0.068,0.004,9.691,0.036,0.196,3.299,0.236,7.248,0.118,,1.429
2017-02-17,6.590,7.083,2.484,-0.032,0.070,0.004,9.687,0.035,0.196,3.243,0.236,7.204,0.117,,1.426
2017-02-21,6.690,7.039,2.524,-0.032,0.072,0.003,9.684,0.034,0.196,3.187,0.236,7.160,0.116,,1.423
2017-02-22,6.720,6.994,2.564,-0.032,0.075,0.003,9.681,0.033,0.196,3.131,0.236,7.116,0.115,,1.420
2017-02-23,6.730,6.950,2.605,-0.033,0.077,0.003,9.677,0.032,0.196,3.075,0.237,7.072,0.114,,1.417
2017-02-24,6.730,6.906,2.646,-0.033,0.079,0.003,9.674,0.032,0.196,3.019,0.237,7.028,0.114,,1.413
2017-02-27,6.800,6.862,2.686,-0.033,0.082,0.003,9.670,0.031,0.195,2.963,0.237,6.984,0.113,,1.410
2017-02-28,6.790,6.818,2.726,-0.034,0.084,0.003,9.667,0.030,0.195,2.907,0.237,6.940,0.112,,1.407
2017-03-01,6.710,6.774,2.767,-0.034,0.087,0.003,9.663,0.029,0.195,2.851,0.237,6.896,0.111,,1.404
2017-03-02,6.770,6.730,2.808,-0.034,0.089,0.003,9.660,0.028,0.195,2.795,0.237,6.852,0.110,,1.404
2017-03-03,6.800,6.685,2.848,-0.035,0.091,0.003,9.657,0.028,0.195,2.739,0.237,6.809,0.110,,1.404
2017-03-06,6.830,6.641,2.888,-0.035,0.094,0.003,9.653,0.027,0.195,2.683,0.237,6.765,0.109,,1.405
2017-03-07,6.800,6.597,2.929,-0.036,0.096,0.003,9.650,0.026,0.195,2.627,0.237,6.721,0.108,,1.405
2017-03-08,6.720,6.553,2.970,-0.036,0.099,0.003,9.646,0.025,0.194,2.571,0.237,6.677,0.107,,1.405
2017-03-09,6.620,6.509,3.010,-0.036,0.101,0.003,9.643,0.025,0.194,2.515,0.237,6.633,0.107,,1.405
2017-03-10,6.670,6.464,3.050,-0.037,0.103,0.002,9.639,0.024,0.194,2.459,0.238,6.589,0.106,,1.406
2017-03-13,6.660,6.420,3.091,-0.037,0.106,0.002,9.636,0.023,0.194,2.403,0.238,6.545,0.105,,1.406
2017-03-14,6.620,6.376,3.132,-0.037,0.108,0.002,9.633,0.022,0.194,2.347,0.238,6.501,0.104,,1.406
2017-03-15,6.710,6.332,3.172,-0.038,0.110,0.002,9.629,0.021,0.194,2.291,0.238,6.457,0.103,,1.406
2017-03-16,6.690,6.288,3.212,-0.038,0.113,0.002,9.626,0.021,0.194,2.235,0.238,6.413,0.103,,1.407
2017-03-17,6.730,6.244,3.253,-0.038,0.115,0.002,9.622,0.020,0.193,2.180,0.238,6.369,0.102,,1.407
2017-03-20,6.710,6.200,3.294,-0.039,0.118,0.002,9.619,0.019,0.193,2.124,0.238,6.325,0.101,,1.407
2017-03-21,6.670,6.155,3.334,-0.039,0.120,0.002,9.615,0.018,0.193,2.068,0.238,6.281,0.100,,1.407
2017-03-22,6.700,6.111,3.374,-0.040,0.122,0.002,9.612,0.017,0.193,2.012,0.238,6.238,0.100,,1.408
2017-03-23,6.700,6.067,3.415,-0.040,0.125,0.002,9.609,0.017,0.193,1.956,0.238,6.194,0.099,,1.408
2017-03-24,6.730,6.023,3.456,-0.040,0.127,0.002,9.605,0.016,0.193,1.900,0.239,6.150,0.098,,1.408
2017-03-27,6.710,5.979,3.496,-0.041,0.129,0.002,9.602,0.015,0.193,1.844,0.239,6.106,0.097,,1.408
2017-03-28,6.740,5.934,3.536,-0.041,0.132,0.001,9.598,0.014,0.192,1.788,0.239,6.062,0.096,,1.409
2017-03-29,6.760,5.890,3.577,-0.041,0.134,0.001,9.595,0.014,0.192,1.732,0.239,6.018,0.096,,1.409
2017-03-30,6.780,5.846,3.617,-0.042,0.137,0.001,9.591,0.013,0.192,1.676,0.239,5.974,0.095,,1.409
2017-03-31,6.800,5.802,3.658,-0.042,0.139,0.001,9.588,0.012,0.192,1.620,0.239,5.930,0.094,$-0.08,1.409
2017-04-03,6.740,5.801,3.658,-0.041,0.139,0.001,9.587,0.013,0.191,1.620,0.239,5.929,0.095,,1.409
2017-04-04,6.720,5.800,3.658,-0.040,0.139,0.001,9.586,0.013,0.191,1.620,0.239,5.928,0.095,,1.410
2017-04-05,6.730,5.799,3.657,-0.040,0.139,0.001,9.585,0.014,0.190,1.620,0.239,5.927,0.096,,1.410
2017-04-06,6.770,5.798,3.657,-0.039,0.139,0.002,9.584,0.015,0.190,1.619,0.239,5.927,0.096,,1.410
2017-04-07,6.740,5.797,3.657,-0.038,0.139,0.002,9.583,0.015,0.189,1.619,0.239,5.926,0.097,,1.410
2017-04-10,6.750,5.796,3.657,-0.037,0.139,0.002,9.581,0.016,0.189,1.619,0.239,5.925,0.097,,1.411
2017-04-11,6.720,5.794,3.656,-0.037,0.139,0.002,9.580,0.017,0.188,1.619,0.239,5.924,0.098,,1.411
2017-04-12,6.720,5.793,3.656,-0.036,0.139,0.002,9.579,0.017,0.188,1.619,0.239,5.923,0.098,,1.411
2017-04-13,6.640,5.792,3.656,-0.035,0.139,0.002,9.578,0.018,0.187,1.619,0.239,5.922,0.099,,1.411
2017-04-17,6.760,5.791,3.656,-0.034,0.139,0.002,9.577,0.019,0.187,1.618,0.239,5.921,0.100,,1.412
2017-04-18,6.790,5.790,3.656,-0.034,0.139,0.002,9.576,0.019,0.186,1.618,0.240,5.920,0.100,,1.412
2017-04-19,6.780,5.789,3.655,-0.033,0.139,0.002,9.575,0.020,0.186,1.618,0.240,5.920,0.101,,1.412
2017-04-20,6.700,5.788,3.655,-0.032,0.139,0.002,9.574,0.021,0.185,1.618,0.240,5.919,0.101,,1.412
2017-04-21,6.750,5.787,3.655,-0.031,0.139,0.002,9.573,0.021,0.185,1.618,0.240,5.918,0.102,,1.413
2017-04-24,6.750,5.786,3.655,-0.031,0.139,0.002,9.572,0.022,0.184,1.618,0.240,5.917,0.102,,1.413
2017-04-25,6.770,5.785,3.654,-0.030,0.139,0.002,9.570,0.023,0.184,1.617,0.240,5.916,0.103,,1.413
2017-04-26,6.760,5.784,3.654,-0.029,0.139,0.002,9.569,0.023,0.183,1.617,0.240,5.915,0.103,,1.413
2017-04-27,6.730,5.783,3.654,-0.028,0.139,0.003,9.568,0.024,0.183,1.617,0.240,5.914,0.104,,1.414
2017-04-28,6.720,5.781,3.654,-0.028,0.139,0.003,9.567,0.025,0.182,1.617,0.240,5.913,0.105,,1.414
