date,totalliabilities
2024-12-31,8.9080
2024-09-30,9.6810
2024-06-30,9.1730
2024-03-31,9.0400
2023-12-31,9.0310
2023-09-30,9.1970
2023-06-30,8.2600
2023-03-31,8.2510
2022-12-31,8.2130
2022-09-30,8.3320
2022-06-30,8.2250
2022-03-31,8.3190
2021-12-31,8.6990
2021-09-30,8.7270
2021-06-30,8.8650
2021-03-31,8.8580
2020-12-31,8.9500
2020-09-30,9.4190
2020-06-30,9.4020
2020-03-31,9.6350
2019-12-31,9.1270
2019-09-30,9.4840
2019-06-30,9.6770
2019-03-31,9.6320
2018-12-31,9.6940
2018-09-30,9.9120
2018-06-30,10.0820
2018-03-31,10.0600
2017-12-31,10.0340
2017-09-30,5.9230
2017-06-30,5.8750
2017-03-31,5.9300
2016-12-31,7.7750
2016-09-30,0.0000
2016-06-30,0.0000
2016-03-31,0.0000
2015-12-31,7.9100
2014-12-31,6.7430
