date,cashonhand
2024-12-31,1.4000
2024-09-30,2.4700
2024-06-30,2.5340
2024-03-31,2.5510
2023-12-31,2.1690
2023-09-30,0.7690
2023-06-30,0.8370
2023-03-31,1.1550
2022-12-31,0.6220
2022-09-30,0.6020
2022-06-30,0.5410
2022-03-31,0.5150
2021-12-31,0.5340
2021-09-30,0.4380
2021-06-30,1.2910
2021-03-31,0.9360
2020-12-31,1.0120
2020-09-30,1.0820
2020-06-30,3.3060
2020-03-31,3.7250
2019-12-31,0.6690
2019-09-30,3.6470
2019-06-30,0.4800
2019-03-31,0.4370
2018-12-31,0.5140
2018-09-30,0.6960
2018-06-30,0.7140
2018-03-31,0.3670
2017-12-31,1.4820
2017-09-30,0.5080
2017-06-30,0.4890
2017-03-31,0.5130
2016-12-31,0.5600
2016-09-30,0.8150
2016-06-30,0.8840
2016-03-31,0.8050
2015-12-31,0.7010
2015-09-30,0.8570
2015-06-30,0.5660
2015-03-31,0.8340
2014-12-31,0.6120
2014-09-30,0.8180
2014-06-30,1.6660
2014-03-31,1.0130
2013-12-31,1.6910
2013-09-30,1.0990
2013-06-30,1.0960
2013-03-31,0.8300
2012-12-31,1.1850
2012-09-30,0.4530
2012-06-30,0.6380
2012-03-31,0.8810
2011-12-31,0.7990
2011-09-30,0.5760
2011-06-30,0.7900
2011-03-31,0.6360
2010-12-31,0.7970
2010-09-30,1.0120
2010-06-30,2.2930
2010-03-31,3.3270
2009-12-31,3.9580
2009-09-30,3.7460
2009-06-30,2.6280
2009-03-31,0.8980
