date,ebitda
2024-12-31,1.1960
2024-09-30,1.1100
2024-06-30,1.0870
2024-03-31,1.0600
2023-12-31,1.1310
2023-09-30,1.0280
2023-06-30,0.9970
2023-03-31,0.9850
2022-12-31,1.0210
2022-09-30,0.9690
2022-06-30,0.9420
2022-03-31,0.9450
2021-12-31,0.9320
2021-09-30,0.9330
2021-06-30,0.9380
2021-03-31,0.9360
2020-12-31,0.8000
2020-09-30,0.7440
2020-06-30,0.7880
2020-03-31,0.9950
2019-12-31,1.1210
2019-09-30,1.0490
2019-06-30,1.0520
2019-03-31,1.0850
2018-12-31,1.1140
2018-09-30,1.0580
2018-06-30,1.0670
2018-03-31,1.0370
2017-12-31,1.0940
2017-09-30,1.0270
2017-06-30,1.0260
2017-03-31,1.0120
2016-12-31,1.0560
2016-09-30,1.0060
2016-06-30,0.9840
2016-03-31,1.0030
2015-12-31,1.0280
2015-09-30,0.9630
2015-06-30,1.0150
2015-03-31,0.9020
2014-12-31,0.9670
2014-09-30,0.9100
2014-06-30,0.9020
2014-03-31,0.8920
2013-12-31,0.9140
2013-09-30,0.8870
2013-06-30,0.8410
2013-03-31,0.8800
2012-12-31,0.7610
2012-09-30,0.8850
2012-06-30,0.8460
2012-03-31,0.8150
2011-12-31,0.8340
2011-09-30,0.7580
2011-06-30,0.7380
2011-03-31,0.7250
2010-12-31,0.7910
2010-09-30,0.6550
2010-06-30,0.6560
2010-03-31,0.6610
2009-12-31,0.5290
2009-09-30,0.6460
2009-06-30,0.6190
2009-03-31,0.6220
