date,eps
2024-12-31,2.04
2024-09-30,1.46
2024-06-30,1.51
2024-03-31,2.25
2023-12-31,2.29
2023-09-30,1.82
2023-06-30,1.49
2023-03-31,1.38
2022-12-31,2.06
2022-09-30,1.65
2022-06-30,1.51
2022-03-31,1.3
2021-12-31,1.53
2021-09-30,2.07
2021-06-30,1.88
2021-03-31,1.36
2020-12-31,0.85
2020-09-30,0.48
2020-06-30,0.83
2020-03-31,1.43
2019-12-31,1.66
2019-09-30,1.77
2019-06-30,1.6
2019-03-31,1.78
2018-12-31,2.3
2018-09-30,1.8
2018-06-30,1.77
2018-03-31,2
2017-12-31,1.83
2017-09-30,1.65
2017-06-30,1.23
2017-03-31,1.53
2016-12-31,1.26
2016-09-30,1.61
2016-06-30,1.45
2016-03-31,1.55
2015-12-31,1.27
2015-09-30,1.36
2015-06-30,1.52
2015-03-31,1.73
2014-12-31,1.3
2014-09-30,0.81
2014-06-30,1.31
2014-03-31,1.1
2013-12-31,1.23
2013-09-30,1
2013-06-30,1.1
2013-03-31,0.91
2012-12-31,0.99
2012-09-30,0.84
2012-06-30,0.71
2012-03-31,2.18
2011-12-31,1.24
2011-09-30,0.93
2011-06-30,0.7
2011-03-31,0.61
2010-12-31,0.76
2010-09-30,0.79
2010-06-30,0.52
2010-03-31,0.03
2009-12-31,0.3
2009-09-30,0.38
2009-06-30,-0.08
2009-03-31,0.45
