date,longtermdebt
2024-12-31,24.2640
2024-09-30,25.4180
2024-06-30,25.2880
2024-03-31,25.5190
2023-12-31,26.0330
2023-09-30,24.9170
2023-06-30,24.9900
2023-03-31,25.5700
2022-12-31,24.9600
2022-09-30,24.6400
2022-06-30,24.8860
2022-03-31,25.1700
2021-12-31,25.3210
2021-09-30,25.5840
2021-06-30,26.2320
2021-03-31,26.1570
2020-12-31,26.7230
2020-09-30,25.1400
2020-06-30,27.2690
2020-03-31,27.5530
2019-12-31,24.1630
2019-09-30,26.6440
2019-06-30,23.3250
2019-03-31,23.1860
2018-12-31,23.3060
2018-09-30,23.6780
2018-06-30,23.5050
2018-03-31,23.6480
2017-12-31,24.6320
2017-09-30,23.4100
2017-06-30,23.4230
2017-03-31,23.1490
2016-12-31,22.9770
2016-09-30,23.0790
2016-06-30,22.9240
2016-03-31,22.9760
2015-12-31,22.4170
2015-09-30,22.6290
2015-06-30,22.0710
2015-03-31,21.6940
2014-12-31,20.8530
2014-09-30,21.2020
2014-06-30,21.9010
2014-03-31,23.1870
2013-12-31,22.6700
2013-09-30,22.7300
2013-06-30,22.6880
2013-03-31,22.5730
2012-12-31,23.1130
2012-09-30,22.5700
2012-06-30,22.4670
2012-03-31,22.8010
2011-12-31,18.4460
2011-09-30,17.9030
2011-06-30,17.0140
2011-03-31,17.1720
2010-12-31,17.4740
2010-09-30,17.4850
2010-06-30,17.0710
2010-03-31,17.8830
2009-12-31,18.6300
2009-09-30,18.6690
2009-06-30,17.9360
2009-03-31,17.3850
