date,totalshareholderequity,debttoequityratio,grossprofit,revenue,totalliabilities,eps,cashonhand,NOI,assets,ebitda,netincome,cap_rate,v1,longtermdebt,REIT_Return
2009-03-31,3.675,5.34,0.702,0.918,19.613,0.45,0.898,0.364,23.287,0.622,0.107,0.016,,17.385,0.0291156462585034
2009-04-01,3.695,5.32,0.702,0.918,19.62,0.442,0.925,0.364,23.314,0.622,0.105,0.016,8.71,17.394,0.028416779431664412
2009-04-02,3.715,5.3,0.702,0.918,19.628,0.433,0.953,0.364,23.342,0.622,0.103,0.016,9.69,17.402,0.02772543741588156
2009-04-03,3.735,5.28,0.702,0.917,19.635,0.425,0.98,0.364,23.369,0.622,0.101,0.016,10.82,17.411,0.02704149933065596
2009-04-06,3.754,5.26,0.701,0.917,19.643,0.416,1.008,0.364,23.396,0.622,0.099,0.016,10.57,17.42,0.02637187000532765
2009-04-07,3.774,5.24,0.701,0.917,19.65,0.408,1.035,0.364,23.424,0.622,0.097,0.016,9.41,17.429,0.025702172760996293
2009-04-08,3.794,5.22,0.701,0.917,19.658,0.4,1.063,0.364,23.451,0.622,0.095,0.016,9.68,17.437,0.02503953610964681
2009-04-09,3.814,5.2,0.701,0.916,19.665,0.391,1.09,0.364,23.478,0.622,0.093,0.016,11.27,17.446,0.024383848977451494
2009-04-13,3.834,5.18,0.701,0.916,19.673,0.383,1.118,0.364,23.506,0.622,0.091,0.015,11.18,17.455,0.023735002608242045
2009-04-14,3.854,5.16,0.701,0.916,19.68,0.374,1.145,0.364,23.533,0.622,0.089,0.015,10.11,17.464,0.02309289050337312
2009-04-15,3.874,5.14,0.701,0.916,19.688,0.366,1.173,0.364,23.56,0.622,0.087,0.015,11.53,17.472,0.02245740836344863
2009-04-16,3.893,5.12,0.701,0.916,19.695,0.357,1.2,0.364,23.588,0.621,0.085,0.015,12.38,17.481,0.02183406113537118
2009-04-17,3.913,5.1,0.7,0.915,19.703,0.349,1.228,0.364,23.615,0.621,0.083,0.015,12.93,17.49,0.021211346792742145
2009-04-20,3.933,5.08,0.7,0.915,19.71,0.341,1.255,0.364,23.643,0.621,0.081,0.015,11.38,17.499,0.02059496567505721
2009-04-21,3.953,5.06,0.7,0.915,19.718,0.332,1.282,0.364,23.67,0.621,0.079,0.015,12.84,17.507,0.019984821654439665
2009-04-22,3.973,5.04,0.7,0.915,19.725,0.324,1.31,0.364,23.697,0.621,0.077,0.015,12.02,17.516,0.019380820538635792
2009-04-23,3.993,5.02,0.7,0.914,19.733,0.315,1.337,0.364,23.725,0.621,0.074,0.015,12.69,17.525,0.018532431755572253
2009-04-24,4.013,5.0,0.7,0.914,19.74,0.307,1.365,0.364,23.752,0.621,0.072,0.015,13.27,17.534,0.01794168950909544
2009-04-27,4.032,4.98,0.7,0.914,19.748,0.299,1.392,0.364,23.779,0.621,0.07,0.015,11.99,17.542,0.017361111111111112
2009-04-28,4.052,4.96,0.7,0.914,19.755,0.29,1.42,0.364,23.807,0.621,0.068,0.015,12.36,17.551,0.016781836130306024
2009-04-29,4.072,4.94,0.699,0.914,19.763,0.282,1.447,0.364,23.834,0.621,0.066,0.015,13.02,17.56,0.016208251473477406
