date,netincome
2024-12-31,0.6670
2024-09-30,0.4750
2024-06-30,0.4930
2024-03-31,0.7320
2023-12-31,0.7470
2023-09-30,0.5940
2023-06-30,0.4860
2023-03-31,0.4520
2022-12-31,0.6740
2022-09-30,0.5390
2022-06-30,0.4970
2022-03-31,0.4270
2021-12-31,0.5030
2021-09-30,0.6800
2021-06-30,0.6170
2021-03-31,0.4460
2020-12-31,0.2710
2020-09-30,0.1460
2020-06-30,0.2540
2020-03-31,0.4380
2019-12-31,0.5100
2019-09-30,0.5440
2019-06-30,0.4950
2019-03-31,0.5480
2018-12-31,0.7130
2018-09-30,0.5560
2018-06-30,0.5470
2018-03-31,0.6210
2017-12-31,0.5710
2017-09-30,0.5140
2017-06-30,0.3820
2017-03-31,0.4780
2016-12-31,0.3940
2016-09-30,0.5050
2016-06-30,0.4550
2016-03-31,0.4810
2015-12-31,0.3920
2015-09-30,0.4200
2015-06-30,0.4730
2015-03-31,0.5390
2014-12-31,0.4050
2014-09-30,0.2520
2014-06-30,0.4070
2014-03-31,0.3420
2013-12-31,0.3820
2013-09-30,0.3120
2013-06-30,0.3400
2013-03-31,0.2830
2012-12-31,0.3150
2012-09-30,0.2550
2012-06-30,0.2150
2012-03-31,0.6450
2011-12-31,0.3630
2011-09-30,0.2740
2011-06-30,0.2050
2011-03-31,0.1790
2010-12-31,0.2180
2010-09-30,0.2310
2010-06-30,0.1530
2010-03-31,0.0090
2009-12-31,0.0920
2009-09-30,0.1060
2009-06-30,-0.0210
2009-03-31,0.1070
