date,revenue
2024-12-31,1.5820
2024-09-30,1.4810
2024-06-30,1.4580
2024-03-31,1.4430
2023-12-31,1.5270
2023-09-30,1.4110
2023-06-30,1.3700
2023-03-31,1.3510
2022-12-31,1.4000
2022-09-30,1.3160
2022-06-30,1.2800
2022-03-31,1.2960
2021-12-31,1.3260
2021-09-30,1.2970
2021-06-30,1.2540
2021-03-31,1.2400
2020-12-31,1.1310
2020-09-30,1.0610
2020-06-30,1.0620
2020-03-31,1.3530
2019-12-31,1.4890
2019-09-30,1.4170
2019-06-30,1.3970
2019-03-31,1.4530
2018-12-31,1.4620
2018-09-30,1.4040
2018-06-30,1.3850
2018-03-31,1.3940
2017-12-31,1.4160
2017-09-30,1.4040
2017-06-30,1.3620
2017-03-31,1.3460
2016-12-31,1.4260
2016-09-30,1.3570
2016-06-30,1.3150
2016-03-31,1.3370
2015-12-31,1.3810
2015-09-30,1.3200
2015-06-30,1.3490
2015-03-31,1.2160
2014-12-31,1.2970
2014-09-30,1.2350
2014-06-30,1.1820
2014-03-31,1.1570
2013-12-31,1.0970
2013-09-30,1.1470
2013-06-30,1.0850
2013-03-31,1.2150
2012-12-31,0.7210
2012-09-30,1.2290
2012-06-30,1.1880
2012-03-31,1.1190
2011-12-31,1.1710
2011-09-30,1.0740
2011-06-30,1.0410
2011-03-31,1.0200
2010-12-31,1.1200
2010-09-30,0.9790
2010-06-30,0.9340
2010-03-31,0.9250
2009-12-31,1.0280
2009-09-30,0.9250
2009-06-30,0.9040
2009-03-31,0.9180
