date,totalliabilities
2024-12-31,28.9910
2024-09-30,30.1370
2024-06-30,29.9790
2024-03-31,30.1120
2023-12-31,30.7920
2023-09-30,29.5540
2023-06-30,29.5180
2023-03-31,29.8450
2022-12-31,29.4000
2022-09-30,29.3180
2022-06-30,29.5480
2022-03-31,29.7190
2021-12-31,29.9240
2021-09-30,30.0710
2021-06-30,31.1200
2021-03-31,30.8960
2020-12-31,31.3150
2020-09-30,29.6450
2020-06-30,31.6910
2020-03-31,31.6100
2019-12-31,28.3200
2019-09-30,30.7640
2019-06-30,27.3690
2019-03-31,27.1420
2018-12-31,26.8890
2018-09-30,27.1820
2018-06-30,26.9650
2018-03-31,26.9850
2017-12-31,28.0190
2017-09-30,26.7900
2017-06-30,26.6750
2017-03-31,26.2170
2016-12-31,26.1440
2016-09-30,26.3420
2016-06-30,26.0620
2016-03-31,26.0360
2015-12-31,25.3490
2015-09-30,25.5210
2015-06-30,24.9040
2015-03-31,24.5100
2014-12-31,23.5810
2014-09-30,23.8060
2014-06-30,24.4710
2014-03-31,25.8910
2013-12-31,26.5020
2013-09-30,25.3070
2013-06-30,25.2090
2013-03-31,25.0630
2012-12-31,25.6940
2012-09-30,25.1570
2012-06-30,24.8560
2012-03-31,25.1240
2011-12-31,20.6730
2011-09-30,20.0630
2011-06-30,18.9650
2011-03-31,19.0090
2010-12-31,19.2240
2010-09-30,19.1800
2010-06-30,18.5990
2010-03-31,19.8360
2009-12-31,20.7650
2009-09-30,20.8760
2009-06-30,20.0840
2009-03-31,19.6130
