date,totalshareholderequity
2024-12-31,3.4150
2024-09-30,3.1390
2024-06-30,3.3980
2024-03-31,3.5850
2023-12-31,3.4920
2023-09-30,3.4100
2023-06-30,3.3010
2023-03-31,3.4530
2022-12-31,3.6120
2022-09-30,3.4770
2022-06-30,3.5310
2022-03-31,3.7330
2021-12-31,3.8530
2021-09-30,3.8750
2021-06-30,3.7070
2021-03-31,3.5160
2020-12-31,3.4720
2020-09-30,2.0160
2020-06-30,2.3350
2020-03-31,2.5110
2019-12-31,2.9110
2019-09-30,3.0800
2019-06-30,3.3640
2019-03-31,3.7000
2018-12-31,3.7970
2018-09-30,3.8980
2018-06-30,3.8790
2018-03-31,4.0330
2017-12-31,4.2390
2017-09-30,4.2430
2017-06-30,4.2910
2017-03-31,4.7290
2016-12-31,4.9600
2016-09-30,5.3270
2016-06-30,5.3170
2016-03-31,5.3630
2015-12-31,5.2160
2015-09-30,5.3270
2015-06-30,5.3860
2015-03-31,5.9720
2014-12-31,5.9520
2014-09-30,5.8670
2014-06-30,6.1160
2014-03-31,6.8640
2013-12-31,6.8230
2013-09-30,6.8040
2013-06-30,6.8060
2013-03-31,6.8230
2012-12-31,6.8930
2012-09-30,6.8210
2012-06-30,7.1310
2012-03-31,7.2940
2011-12-31,5.5440
2011-09-30,5.5120
2011-06-30,5.5690
2011-03-31,5.5600
2010-12-31,5.6340
2010-09-30,5.6080
2010-06-30,5.3260
2010-03-31,5.1420
2009-12-31,5.1830
2009-09-30,5.1010
2009-06-30,4.9260
2009-03-31,3.6750
