date,totalshareholderequity,debttoequityratio,grossprofit,revenue,totalliabilities,eps,cashonhand,NOI,assets,ebitda,netincome,cap_rate,v1,longtermdebt,cpi
2009-04-01,3.695,5.320,0.702,0.918,19.620,0.442,0.925,0.364,23.314,0.622,0.105,0.016,8.710,17.394,
2009-04-02,3.715,5.300,0.702,0.918,19.628,0.433,0.953,0.364,23.342,0.622,0.103,0.016,9.690,17.402,
2009-04-03,3.735,5.280,0.702,0.917,19.635,0.425,0.980,0.364,23.369,0.622,0.101,0.016,10.820,17.411,
2009-04-06,3.754,5.260,0.701,0.917,19.643,0.416,1.008,0.364,23.396,0.622,0.099,0.016,10.570,17.420,
2009-04-07,3.774,5.240,0.701,0.917,19.650,0.408,1.035,0.364,23.424,0.622,0.097,0.016,9.410,17.429,
2009-04-08,3.794,5.220,0.701,0.917,19.658,0.400,1.063,0.364,23.451,0.622,0.095,0.016,9.680,17.437,
2009-04-09,3.814,5.200,0.701,0.916,19.665,0.391,1.090,0.364,23.478,0.622,0.093,0.016,11.270,17.446,
2009-04-13,3.834,5.180,0.701,0.916,19.673,0.383,1.118,0.364,23.506,0.622,0.091,0.015,11.180,17.455,
2009-04-14,3.854,5.160,0.701,0.916,19.680,0.374,1.145,0.364,23.533,0.622,0.089,0.015,10.110,17.464,
2009-04-15,3.874,5.140,0.701,0.916,19.688,0.366,1.173,0.364,23.560,0.622,0.087,0.015,11.530,17.472,
2009-04-16,3.893,5.120,0.701,0.916,19.695,0.357,1.200,0.364,23.588,0.621,0.085,0.015,12.380,17.481,
2009-04-17,3.913,5.100,0.700,0.915,19.703,0.349,1.228,0.364,23.615,0.621,0.083,0.015,12.930,17.490,
2009-04-20,3.933,5.080,0.700,0.915,19.710,0.341,1.255,0.364,23.643,0.621,0.081,0.015,11.380,17.499,
2009-04-21,3.953,5.060,0.700,0.915,19.718,0.332,1.282,0.364,23.670,0.621,0.079,0.015,12.840,17.507,
2009-04-22,3.973,5.040,0.700,0.915,19.725,0.324,1.310,0.364,23.697,0.621,0.077,0.015,12.020,17.516,
2009-04-23,3.993,5.020,0.700,0.914,19.733,0.315,1.337,0.364,23.725,0.621,0.074,0.015,12.690,17.525,
2009-04-24,4.013,5.000,0.700,0.914,19.740,0.307,1.365,0.364,23.752,0.621,0.072,0.015,13.270,17.534,
2009-04-27,4.032,4.980,0.700,0.914,19.748,0.299,1.392,0.364,23.779,0.621,0.070,0.015,11.990,17.542,
2009-04-28,4.052,4.960,0.700,0.914,19.755,0.290,1.420,0.364,23.807,0.621,0.068,0.015,12.360,17.551,
2009-04-29,4.072,4.940,0.699,0.914,19.763,0.282,1.447,0.364,23.834,0.621,0.066,0.015,13.020,17.560,
2009-04-30,4.092,4.920,0.699,0.913,19.770,0.273,1.475,0.364,23.861,0.621,0.064,0.015,13.520,17.569,
2009-05-01,4.112,4.900,0.699,0.913,19.777,0.265,1.502,0.364,23.889,0.621,0.062,0.015,12.440,17.577,
2009-05-04,4.132,4.880,0.699,0.913,19.785,0.257,1.530,0.364,23.916,0.621,0.060,0.015,13.600,17.586,
2009-05-05,4.152,4.860,0.699,0.913,19.792,0.248,1.557,0.364,23.943,0.621,0.058,0.015,13.140,17.595,
2009-05-06,4.171,4.840,0.699,0.912,19.800,0.240,1.585,0.364,23.971,0.621,0.056,0.015,14.370,17.604,
2009-05-07,4.191,4.820,0.699,0.912,19.807,0.231,1.612,0.364,23.998,0.621,0.054,0.015,13.640,17.612,
2009-05-08,4.211,4.800,0.699,0.912,19.815,0.223,1.639,0.364,24.025,0.621,0.052,0.015,14.130,17.621,
2009-05-11,4.231,4.780,0.698,0.912,19.822,0.214,1.667,0.364,24.053,0.621,0.050,0.015,13.620,17.630,
2009-05-12,4.251,4.760,0.698,0.912,19.830,0.206,1.694,0.364,24.080,0.621,0.048,0.015,13.600,17.639,
2009-05-13,4.271,4.740,0.698,0.911,19.837,0.198,1.722,0.364,24.107,0.621,0.046,0.015,12.720,17.647,
2009-05-14,4.291,4.720,0.698,0.911,19.845,0.189,1.749,0.364,24.135,0.621,0.044,0.015,13.240,17.656,
2009-05-15,4.310,4.700,0.698,0.911,19.852,0.181,1.777,0.365,24.162,0.620,0.042,0.015,12.410,17.665,
2009-05-18,4.330,4.680,0.698,0.911,19.860,0.172,1.804,0.365,24.190,0.620,0.040,0.015,13.620,17.674,
2009-05-19,4.350,4.660,0.698,0.910,19.867,0.164,1.832,0.365,24.217,0.620,0.038,0.015,13.360,17.682,
2009-05-20,4.370,4.640,0.698,0.910,19.875,0.156,1.859,0.365,24.244,0.620,0.036,0.015,13.220,17.691,
2009-05-21,4.390,4.620,0.697,0.910,19.882,0.147,1.887,0.365,24.272,0.620,0.034,0.015,13.120,17.700,
2009-05-22,4.410,4.600,0.697,0.910,19.890,0.139,1.914,0.365,24.299,0.620,0.032,0.015,12.820,17.709,
2009-05-26,4.430,4.580,0.697,0.910,19.897,0.130,1.941,0.365,24.326,0.620,0.030,0.015,13.580,17.717,
2009-05-27,4.449,4.560,0.697,0.909,19.905,0.122,1.969,0.365,24.354,0.620,0.028,0.015,13.220,17.726,
2009-05-28,4.469,4.540,0.697,0.909,19.912,0.113,1.996,0.365,24.381,0.620,0.026,0.015,13.700,17.735,
2009-05-29,4.489,4.520,0.697,0.909,19.920,0.105,2.024,0.365,24.408,0.620,0.024,0.015,14.140,17.744,
2009-06-01,4.509,4.500,0.697,0.909,19.927,0.097,2.051,0.365,24.436,0.620,0.022,0.015,14.920,17.752,
2009-06-02,4.529,4.480,0.697,0.908,19.934,0.088,2.079,0.365,24.463,0.620,0.020,0.015,14.350,17.761,
2009-06-03,4.549,4.460,0.696,0.908,19.942,0.080,2.106,0.365,24.490,0.620,0.018,0.015,14.280,17.770,
2009-06-04,4.569,4.440,0.696,0.908,19.949,0.071,2.134,0.365,24.518,0.620,0.016,0.015,14.440,17.779,
2009-06-05,4.588,4.420,0.696,0.908,19.957,0.063,2.161,0.365,24.545,0.620,0.014,0.015,14.150,17.787,
2009-06-08,4.608,4.400,0.696,0.908,19.964,0.055,2.189,0.365,24.572,0.620,0.012,0.015,14.250,17.796,
2009-06-09,4.628,4.380,0.696,0.907,19.972,0.046,2.216,0.365,24.600,0.620,0.009,0.015,14.120,17.805,
2009-06-10,4.648,4.360,0.696,0.907,19.979,0.038,2.244,0.365,24.627,0.620,0.007,0.015,13.910,17.814,
2009-06-11,4.668,4.340,0.696,0.907,19.987,0.029,2.271,0.365,24.654,0.620,0.005,0.015,13.790,17.822,
2009-06-12,4.688,4.320,0.696,0.907,19.994,0.021,2.298,0.365,24.682,0.620,0.003,0.015,14.320,17.831,
2009-06-15,4.708,4.300,0.695,0.906,20.002,0.013,2.326,0.365,24.709,0.620,0.001,0.015,13.730,17.840,
